date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,35,22,0.0,11.6,8,26,01:35 AM,02:15 PM,05:12 AM,05:53 PM,19,30,30,28,22,14,62,0.0,1014,35,10,110,17,Batalha
2019-01-02,33,24,0.0,10.3,6,19,02:19 AM,03:06 PM,05:12 AM,05:53 PM,19,29,29,28,22,32,63,0.0,1015,33,10,115,18,Batalha
2019-01-03,34,22,0.0,11.6,7,11,03:06 AM,03:57 PM,05:13 AM,05:53 PM,18,29,29,27,21,16,62,0.0,1014,34,10,114,16,Batalha
2019-01-04,35,22,0.0,11.6,7,4,03:54 AM,04:48 PM,05:13 AM,05:54 PM,18,29,29,28,19,16,59,0.0,1014,35,10,116,15,Batalha
2019-01-05,34,22,0.0,11.6,7,0,04:43 AM,05:39 PM,05:14 AM,05:54 PM,18,29,29,27,21,17,59,0.0,1014,34,10,117,17,Batalha
2019-01-06,31,23,0.0,11.6,7,0,05:33 AM,06:27 PM,05:14 AM,05:54 PM,19,28,28,27,20,34,63,0.0,1014,31,10,123,16,Batalha
2019-01-07,31,22,0.0,10.3,6,3,06:22 AM,07:14 PM,05:15 AM,05:55 PM,19,28,28,26,19,48,66,0.2,1014,31,10,130,13,Batalha
2019-01-08,31,22,0.0,10.2,6,10,07:11 AM,07:59 PM,05:16 AM,05:55 PM,19,28,28,26,19,48,68,0.6,1014,31,10,129,15,Batalha
2019-01-09,31,22,0.0,8.9,6,18,07:59 AM,08:41 PM,05:16 AM,05:55 PM,19,28,28,26,18,46,67,0.0,1013,31,10,120,14,Batalha
2019-01-10,33,22,0.0,10.2,6,25,08:45 AM,09:21 PM,05:17 AM,05:56 PM,18,28,28,27,21,23,62,0.0,1013,33,10,118,17,Batalha
2019-01-11,33,22,0.0,10.2,6,32,09:31 AM,10:01 PM,05:17 AM,05:56 PM,18,28,28,26,20,33,64,0.0,1014,33,10,143,15,Batalha
2019-01-12,33,21,0.0,11.6,7,39,10:16 AM,10:40 PM,05:18 AM,05:56 PM,19,27,27,26,17,32,66,0.0,1013,33,10,132,13,Batalha
2019-01-13,33,23,0.0,7.5,6,47,11:02 AM,11:20 PM,05:18 AM,05:56 PM,20,29,29,27,20,58,70,12.8,1014,33,9,122,13,Batalha
2019-01-14,33,23,0.0,10.2,6,54,11:50 AM,No moonset,05:19 AM,05:57 PM,19,29,29,27,19,36,67,0.1,1014,33,10,127,15,Batalha
2019-01-15,33,22,0.0,11.6,7,61,12:39 PM,12:01 AM,05:19 AM,05:57 PM,19,28,28,26,18,28,65,0.0,1015,33,10,126,14,Batalha
2019-01-16,32,22,0.0,10.2,6,69,01:32 PM,12:46 AM,05:20 AM,05:57 PM,20,28,28,26,17,41,71,0.8,1015,32,10,132,13,Batalha
2019-01-17,33,23,0.0,8.9,6,76,02:28 PM,01:35 AM,05:20 AM,05:57 PM,21,29,29,27,21,57,72,2.8,1014,33,10,133,13,Batalha
2019-01-18,32,23,0.0,10.2,6,83,03:28 PM,02:28 AM,05:21 AM,05:57 PM,20,29,29,27,18,53,71,2.3,1014,32,10,128,14,Batalha
2019-01-19,33,23,0.0,10.2,6,90,04:30 PM,03:27 AM,05:21 AM,05:57 PM,20,29,29,27,18,44,68,1.1,1013,33,10,118,14,Batalha
2019-01-20,33,23,0.0,11.6,6,98,05:34 PM,04:29 AM,05:22 AM,05:58 PM,20,29,29,27,19,34,67,1.4,1014,33,10,115,15,Batalha
2019-01-21,33,23,0.0,11.6,7,100,06:34 PM,05:34 AM,05:22 AM,05:58 PM,19,29,29,27,22,18,64,0.0,1015,33,10,117,17,Batalha
2019-01-22,32,21,0.0,11.6,7,88,07:32 PM,06:37 AM,05:23 AM,05:58 PM,18,27,27,26,19,30,66,0.0,1014,32,10,127,15,Batalha
2019-01-23,34,22,0.0,11.6,7,81,08:25 PM,07:40 AM,05:23 AM,05:58 PM,19,29,29,27,18,23,64,0.0,1014,34,10,128,14,Batalha
2019-01-24,35,22,0.0,11.6,7,73,09:16 PM,08:38 AM,05:24 AM,05:58 PM,17,29,29,28,19,13,58,0.0,1013,35,10,103,15,Batalha
2019-01-25,34,23,0.0,11.6,7,66,10:03 PM,09:35 AM,05:24 AM,05:58 PM,19,29,29,28,21,28,63,0.0,1014,34,10,120,17,Batalha
2019-01-26,33,22,0.0,11.6,6,59,10:48 PM,10:28 AM,05:24 AM,05:58 PM,19,29,29,27,19,30,66,3.9,1014,33,10,121,15,Batalha
2019-01-27,34,22,0.0,11.6,7,51,11:33 PM,11:21 AM,05:25 AM,05:58 PM,18,29,29,27,21,17,63,0.0,1014,34,10,115,16,Batalha
2019-01-28,32,22,0.0,7.5,6,44,No moonrise,12:12 PM,05:25 AM,05:58 PM,20,28,28,26,20,46,70,5.1,1015,32,10,127,14,Batalha
2019-01-29,33,22,0.0,11.6,7,37,12:18 AM,01:03 PM,05:26 AM,05:58 PM,19,29,29,27,20,26,66,0.1,1014,33,10,137,15,Batalha
2019-01-30,34,22,0.0,11.6,7,30,01:04 AM,01:54 PM,05:26 AM,05:58 PM,18,29,29,27,18,33,62,0.0,1014,34,10,141,14,Batalha
2019-01-31,32,23,0.0,8.9,6,26,01:52 AM,02:45 PM,05:26 AM,05:58 PM,20,29,29,27,18,59,68,0.1,1013,32,10,131,14,Batalha
2019-02-01,33,23,0.0,8.9,6,8,02:40 AM,03:35 PM,05:27 AM,05:58 PM,20,30,30,28,19,58,65,0.0,1014,33,10,123,15,Batalha
2019-02-02,35,23,0.0,10.2,7,1,03:29 AM,04:24 PM,05:27 AM,05:58 PM,19,30,30,28,20,26,60,0.0,1014,35,10,119,16,Batalha
2019-02-03,33,23,0.0,11.6,6,0,04:18 AM,05:11 PM,05:27 AM,05:57 PM,20,29,29,27,18,39,68,1.0,1013,33,10,118,14,Batalha
2019-02-04,34,23,0.0,11.6,6,0,05:07 AM,05:56 PM,05:28 AM,05:57 PM,20,30,30,28,16,33,64,1.1,1012,34,10,101,12,Batalha
2019-02-05,35,25,0.0,11.6,7,0,05:55 AM,06:39 PM,05:28 AM,05:57 PM,20,31,31,29,16,33,63,2.4,1012,35,10,96,13,Batalha
2019-02-06,33,25,0.0,11.6,6,7,06:42 AM,07:20 PM,05:28 AM,05:57 PM,21,30,30,27,19,30,68,11.1,1012,33,9,103,14,Batalha
2019-02-07,34,23,0.0,11.6,7,14,07:29 AM,08:00 PM,05:29 AM,05:57 PM,19,29,29,28,20,24,63,0.0,1011,34,10,105,15,Batalha
2019-02-08,34,23,0.0,11.6,7,22,08:14 AM,08:39 PM,05:29 AM,05:57 PM,19,29,29,28,18,13,60,0.0,1011,34,10,101,14,Batalha
2019-02-09,34,23,0.0,11.6,7,29,08:59 AM,09:18 PM,05:29 AM,05:56 PM,19,30,30,28,20,13,61,0.0,1011,34,10,104,16,Batalha
2019-02-10,32,23,0.0,10.2,6,37,09:45 AM,09:58 PM,05:29 AM,05:56 PM,20,29,29,27,21,30,65,0.0,1012,32,10,116,17,Batalha
2019-02-11,33,23,0.0,10.2,6,44,10:32 AM,10:40 PM,05:30 AM,05:56 PM,20,29,29,27,22,36,64,0.0,1013,33,10,123,17,Batalha
2019-02-12,33,23,0.0,10.2,6,52,11:22 AM,11:26 PM,05:30 AM,05:56 PM,19,29,29,27,18,30,64,0.0,1013,33,10,127,14,Batalha
2019-02-13,33,23,0.0,11.6,6,60,12:15 PM,No moonset,05:30 AM,05:56 PM,20,30,30,28,16,37,66,0.2,1013,33,10,108,12,Batalha
2019-02-14,34,26,0.0,11.6,8,67,01:11 PM,12:15 AM,05:30 AM,05:55 PM,19,31,31,29,9,24,55,0.1,1013,34,10,139,7,Batalha
2019-02-15,36,25,0.0,11.6,8,75,02:10 PM,01:09 AM,05:31 AM,05:55 PM,20,31,31,29,15,17,60,0.0,1012,36,10,105,12,Batalha
2019-02-16,34,26,0.0,11.6,8,82,03:12 PM,02:07 AM,05:31 AM,05:55 PM,20,32,32,30,9,32,58,0.0,1012,34,10,78,7,Batalha
2019-02-17,35,26,0.0,11.6,8,90,04:13 PM,03:10 AM,05:31 AM,05:54 PM,20,32,32,30,16,27,57,0.0,1012,35,10,62,13,Batalha
2019-02-18,35,25,0.0,11.6,8,97,05:13 PM,04:14 AM,05:31 AM,05:54 PM,20,32,32,29,17,20,61,0.0,1013,35,10,98,14,Batalha
2019-02-19,35,23,0.0,11.6,8,100,06:09 PM,05:18 AM,05:31 AM,05:54 PM,19,30,30,29,17,9,60,0.0,1013,35,10,121,14,Batalha
2019-02-20,34,23,0.0,11.6,8,88,07:02 PM,06:19 AM,05:32 AM,05:53 PM,19,30,30,28,17,12,61,0.0,1012,34,10,119,13,Batalha
2019-02-21,36,23,0.0,11.6,8,80,07:52 PM,07:19 AM,05:32 AM,05:53 PM,18,30,30,29,17,11,58,0.0,1013,36,10,115,14,Batalha
2019-02-22,34,23,0.0,11.6,8,73,08:39 PM,08:15 AM,05:32 AM,05:53 PM,19,30,30,28,17,20,60,0.0,1014,34,10,102,13,Batalha
2019-02-23,34,24,0.0,11.6,7,65,09:27 PM,09:10 AM,05:32 AM,05:52 PM,20,31,31,29,16,28,62,3.6,1012,34,10,110,12,Batalha
2019-02-24,35,24,0.0,11.6,8,57,10:13 PM,10:04 AM,05:32 AM,05:52 PM,19,31,31,29,15,16,58,0.3,1011,35,10,103,12,Batalha
2019-02-25,35,25,0.0,11.6,8,50,11:00 PM,10:57 AM,05:32 AM,05:51 PM,20,32,32,30,13,30,59,0.8,1011,35,10,122,10,Batalha
2019-02-26,35,26,0.0,11.6,8,42,11:48 PM,11:49 AM,05:32 AM,05:51 PM,19,32,32,30,13,15,55,0.3,1012,35,10,69,11,Batalha
2019-02-27,36,26,0.0,11.6,8,35,No moonrise,12:41 PM,05:32 AM,05:50 PM,19,32,32,30,16,12,55,0.2,1012,36,10,79,13,Batalha
2019-02-28,36,23,0.0,11.6,8,27,12:36 AM,01:32 PM,05:32 AM,05:50 PM,17,30,30,29,18,6,51,0.0,1013,36,10,79,14,Batalha
2019-03-01,35,23,0.0,11.6,8,26,01:26 AM,02:21 PM,05:33 AM,05:50 PM,18,30,30,28,19,10,57,0.0,1014,35,10,100,15,Batalha
2019-03-02,35,23,0.0,11.6,8,19,02:15 AM,03:09 PM,05:33 AM,05:49 PM,19,30,30,28,18,12,60,0.0,1014,35,10,118,15,Batalha
2019-03-03,33,23,0.0,11.6,6,12,03:04 AM,03:54 PM,05:33 AM,05:49 PM,19,30,30,28,15,29,63,0.2,1013,33,10,116,12,Batalha
2019-03-04,34,24,0.0,11.6,7,4,03:52 AM,04:38 PM,05:33 AM,05:48 PM,19,30,30,28,15,23,61,1.1,1014,34,10,73,11,Batalha
2019-03-05,33,24,0.0,11.6,7,0,04:39 AM,05:20 PM,05:33 AM,05:48 PM,20,30,30,28,19,24,63,0.0,1014,33,10,113,15,Batalha
2019-03-06,33,23,0.0,8.8,6,0,05:26 AM,06:00 PM,05:33 AM,05:47 PM,19,29,29,28,18,35,64,0.0,1014,33,10,127,14,Batalha
2019-03-07,34,23,0.0,11.6,7,3,06:11 AM,06:39 PM,05:33 AM,05:47 PM,19,30,30,28,19,17,63,0.0,1014,34,10,125,15,Batalha
2019-03-08,33,23,0.0,10.2,6,10,06:57 AM,07:18 PM,05:33 AM,05:46 PM,20,29,29,27,18,38,67,0.4,1014,33,10,128,14,Batalha
2019-03-09,35,22,0.0,11.6,7,17,07:43 AM,07:58 PM,05:33 AM,05:46 PM,19,29,29,28,20,13,62,0.0,1013,35,10,115,15,Batalha
2019-03-10,36,21,0.0,11.6,8,24,08:30 AM,08:39 PM,05:33 AM,05:45 PM,17,29,29,28,17,6,57,0.0,1012,36,10,103,13,Batalha
2019-03-11,36,23,0.0,11.6,8,32,09:19 AM,09:23 PM,05:33 AM,05:45 PM,17,30,30,29,17,7,52,0.0,1012,36,10,113,13,Batalha
2019-03-12,35,24,0.0,11.6,7,39,10:09 AM,10:09 PM,05:33 AM,05:44 PM,20,31,31,29,21,29,63,0.7,1013,35,10,110,17,Batalha
2019-03-13,33,23,0.0,8.8,6,46,11:03 AM,11:00 PM,05:33 AM,05:44 PM,21,29,29,27,18,49,70,10.9,1013,33,9,123,13,Batalha
2019-03-14,33,24,0.0,10.2,6,54,11:59 AM,11:55 PM,05:33 AM,05:43 PM,21,30,30,28,14,38,68,8.2,1012,33,9,135,11,Batalha
2019-03-15,35,24,0.0,11.6,8,61,12:58 PM,No moonset,05:33 AM,05:42 PM,20,30,30,29,18,26,62,0.0,1012,35,10,108,14,Batalha
2019-03-16,35,22,0.0,11.6,7,68,01:57 PM,12:54 AM,05:33 AM,05:42 PM,18,29,29,28,17,12,60,0.0,1012,35,10,108,13,Batalha
2019-03-17,36,24,0.0,11.6,8,75,02:55 PM,01:55 AM,05:33 AM,05:41 PM,19,30,30,29,16,13,59,0.0,1012,36,10,118,13,Batalha
2019-03-18,35,24,0.0,11.6,8,83,03:52 PM,02:57 AM,05:33 AM,05:41 PM,19,31,31,29,15,15,59,0.0,1012,35,10,117,12,Batalha
2019-03-19,36,25,0.0,11.6,8,90,04:45 PM,03:59 AM,05:33 AM,05:40 PM,19,32,32,30,10,12,55,0.0,1010,36,10,151,8,Batalha
2019-03-20,39,25,0.0,11.6,8,97,05:37 PM,04:58 AM,05:33 AM,05:40 PM,18,33,33,32,12,18,47,0.0,1009,39,10,135,9,Batalha
